Index,Term,Definition
2604,dimåsiao,Superfluous; extravagant; overemphasized; too much.
2605,dimimoria,Play; stage show; program; memorize.
2606,dimonio,Demon; evil spirit; devil.
2607,dimu,Kneel; bend the knees.
2608,dinagi,untruthfulness; deception.
2609,dinalak,Type of sickness--swelling and inflammation of claf and legs.
2610,dinalalak,Imitation; following.
2611,dinamita,Dynamite; TNT.
2612,dinamu,Dynamo.
2613,dinanche,Correct; right; accurate; exact; precise.
2614,dinaña',Mixture; blend.
2615,dinaña'i,Siding; turnout on the road.
2616,dinekko',Seedling; that which has germinated.
2617,dinekko',Sprouting; growth; germination.
2618,dinga',"noun. 1) A twin, one of two children born at the same birth; 2) double. 3) fork (of the tree) 4) A junction; a crossroad."
2619,dinga' chålån,Crossroad; junction; intersection.
2620,dingu,Depart; leave behind; abandon; desert; forsake.
2621,dinida,Doubt; doubtfulnes; feeling of uncertainty as to fact.
2622,dinigridu,Bruise; to inflict a bruise; contusion.
2623,dinimålas,Misfortune; back luck.
2624,dinimånda,Suit; process of law.
2625,Dios,God.
2626,dipåtta,Depart with; separate from; isolate.
2627,dipåttemente,Department.
2628,dipende,Depend on; trust; entrust; have faith rely on.
2629,dipendensia,Dependence.
2630,dipendiente,Dependent; subordinate; relying on something else for support.
2631,diploma,Diploma; certificate.
2632,diplomatiku,Diplomat.
2633,dipositu,Warehouse; depot; storage; supplyhouse; storehouse.
2634,dipotsi,Supposed.
2635,dipotta,Deport; depopulate; send away; exile; banish.
2636,dipsition hånom,Reservoir (water).
2637,dipusita,Deposit; place; put; store.
2638,direcha iskietda,Scattered--left and right. Formal way to say direchas kuetdas.
2639,direchas kuetdas,Disorderly manner; disorderly way; untidy; disheveled; scattered around; messy way.
2640,direcho,Privilege; prerogative; right; a personal right.
2641,direcho,Right side up; correct position; the state of being in the right manner.
2642,direktorio,Directory; book of instructions.
2643,direktot,Director.
2644,dirihi,Direct; lead; guide; conduct; administer.
2645,diriti,Melt; liquefy.
2646,diritiyon,Soluble; dissolvable.
2647,diroga,Revoke; abolish; countermand; repeal; disapprove.
2648,diroga,To tear down and build again--as in a house or a pålapåla.
2649,disåsi,Demolish; disassemble; destroy; ruin; wreck; annihilate; take off (something).
2650,disåtende,Disregard; pay no attention to; slight.
2651,disatento,Disrespectful; irreverent; discourteous; inattentive (female).
2652,disåtma,Disarm; subdue.
2653,disåyunu,Breakfast.
2654,disdicha,Misfortune; misery; ill fortune.
2655,disdichao,Unfortunate; unhappy.
2656,disecha,Ignore; disregard; neglect; pay no heed to; pretend not to see.
2657,disecha,To spurn; to throw away; to cast away; to repudiate.
2658,disecha,Curse; to wish evil on another.
2659,diseha,Wish; want; desire; hope; crave; covet.
2660,disembra,Replacing seed or plant that failed to survive.
2661,disente,Decent; appropriate; proper; clean; suitable.
2662,disentunådu,Inharmonious; out of tune.
2663,disentunao,Inharmonious; out of tune.
2664,disetto,Desert; uninhabited; isolate; deserted.
2665,disidi,Decide; resolve; settle; come to a conclusion; bring to a decision.
2666,Disiembre,December.
2667,disietto,Desert; uninhabited; isolate; deserted.
2668,disimula,Hide; conceal; keep secret; dissemble; secrete; make secret.
2669,disinteresao,Unselfish; disinterested.
2670,disiosu,Desirous; eager.
2671,disiplina,Discipline; training; rule of conduct.
2672,disipulu,The apostles; the desciples; follower; scholar.
2673,disision,Decision.
2674,diskåtga,"Unload; take the load from; remove the burden (cargoe, freight) from."
2675,disklåba,To pull nails.
2676,diskriminasion,Discrimination; differentiation.
2677,diskubre,Discover; reveal; explore; disclose; make plain or evident.
2678,diskuidao,Careless; heedless; reckless; inadvertent; irresponsible.
2679,diskuti,Debate; discuss.
2680,diskuti,Release; let go of.
2681,diso',Lump (on head); weal; welt; pumpknot.
2682,diso',Dissel; fuel.
2683,dispåra,Fire a gun.
2684,dispårati,Nonsense; blunder.
2685,dispårati,Bad language.
2686,dispensa,verb (used with object) To forgive; To excuse someone; To pardon someone for an offense or mistake.  interjection. Sorry! 
2687,dispensa,Dispensation.
2688,dispensiya,Pantry.
2689,dispusision,Disposition; decision.
2690,distånsia,Distance.
2691,distengge,Distinguish; differentiate; tell apart; determine; discern.
2692,distenggidu,Distinguished.
2693,distraksion,Distraction; disturbance; agitation.
2694,distrakto,Distract; divert.
2695,distrakto,Distraction.
2696,distritu,Disctrict; region; precinct; tract (of land); territorial division.
2697,ditetmina,Determine; conclude; direct; designate.
2698,ditetminasion,Determination; persistence; insistence.
2699,ditieni,Delay; prolong; retard; slow; slacken; detain.
2700,do'åk,Cataract (of the eye); white spot on pupil of eye; having one bad eye.
2701,do'ån,Carry (something)--on the shoulder with stick.
2702,do'ån,Mole--a congenital mark on the skin.
2703,do'do',Fart; break wind; emit gas through the anus.
2704,do'gas,Small shell; sea shell.
2705,dobladura,"Hem, as in a skirt or shirt sleeve."
2706,dochon,Penetrate; pierce; stick in; thrust in; put in.
2707,doddak,Thimble--used to protect finger when sewing.
2708,doddo,Type of fish--abudefduf sordidus. Damsel fish.
2709,doddo,Type of fish--famly pomacentridae.
2710,dodichan,Go west.
2711,dodole',Testicle; scrotum.
2712,dodole',Part of bird from which tail feathers grow.
2713,dofen,Type of fish--coryphaena hippurus. Dolphin.
2714,doffe',Missing tooth; chipped tooth; snaggle-toothes; chipped (blade).
2715,dogga,Footwear (generic).
2716,dohlan,Cyst; vericose veins.
2717,dokdok,Type of plant--artocarpus mariannensis. Breadfruit--with seeds in the fruit.
2718,dokko',Sprout; shoot forth; germinate; grow.
2719,dokngos,Burned; scorched; crispy; dehydrated; dried from heat.
2720,dokto,Doctor; physician; surgeon; practitioner.
2721,doktorina,Indoctrinate; give religious instruction.
2722,dollan,Testicle; global shape; a round object.
2723,dollan,Balance.
2724,dolle,Weak; weakling; feeble; frail.
2725,dolle,To humble oneself.
2726,domina,Domino.
2727,domitorio,Dormitory.
2728,dommo',Punch; sock; strick; hit with the fist.
2729,dondon,Freckle; spotted; dotted; speckled; pitted; tarnished; stained.
2730,done',Type of plant--capsicum annuum. Hot pepper; bell pepper.
2731,donesion,Donation.
2732,dongdong,Pierce repeatedly; hit repeatedly; playing tops; stung by bees.
2733,donggat,"Type of fungus. White, tiny, and soft and is luminous, usually found in decayed matter which resembles mushroom; reflector; speck or point of light, as a single lantern in the distance."
2734,donggat,Twinkling; twinkle of light; pin-point of light; sparkling blink of light; bright tiny light; phosphorescence.
2735,donggat,Type o insect--coleoptera lampyridae. Lightning bug; firefly.
2736,donne',Type of plant--capsicum annuum. Hot pepper; bell pepper.
2737,donne' gollai,Type of plant--frutescens capsicum var grossum. Bell pepper. Red pepper who unripe fruit is called green pepper or sweet pepper.
2738,donne' i sisu,Budding breast.
2739,donne' pika,Type of plant--capsicum. Chili pepper.
2740,donne' såli,Type of plant--capsicum frutescens. Small pepper--very hot in taste.
2741,donne' ti'ao,Pepper--larger than the regular donne'.
2742,donseya,Virgin; maiden; maid servant.
2743,donseyan nobia,Bridesmaid.
2744,donseyu,Best man.
2745,dopbla,Bend; fold; strain; make tense.
2746,dopble,Double; two-fold; tow of a sort.
2747,dorao,Gilded; gold-plated; gilt.
2748,dos,Two.
2749,dos sientos,Two hundred.
2750,dosse,Twelve.
2751,dossok,Pierce ; poke; pick (with pole or stick).
2752,dossok,Pole; sick (used for picking).
2753,dotgan,Penetrated.
2754,doti,Bestow; give.
2755,doti,Inherit; inheritance; dowry.
2756,doti,Inherited talent.
2757,dotmiente,Beam; crossbeam.
2758,dotmilådu,Drowsy; sleepy head.
2759,dotmilon,Sleepy head; one who feels sleepy often.
2760,dotmitorio,Dormitory.
2761,dottrina,Catechism; catechizing; teaching; instrutcting--especially in religion; doctrine.
2762,doña,"Mrs.--title used only before Christian names of women, especially when telling a story."
2763,dragon,Dragon.
2764,draiba,Drive--steering the course of a vehicle by mechanical means.
2765,draiba,noun. driver; chauffeur; operator. Also sisugon.
2766,dreya,Dredge; excavate with or as with a dredge.
2767,du'ån,Wart; verruca; bud; a glandular excrescence or hardened protuberance on plants or animals.
2768,du'ån nånåso',"Wart; verruca; a glandular excrescence of hardened protuberance on plants or animals, caused from external stimuli."
2769,dubli,Double; two-fold; tow of a sort.
2770,duda,Doubtful; dubious; equivocal; undertermined; problematical; questionable; doubt.
2771,dudok,"Encircle--by making the two ends of something meet, such as the two arms, thumb and forefinger, two ends of a string."
2772,dudos,Showy; flirtatious.
2773,dudosu,Distrust; dubious; questionable.
2774,dudu,noun. container--small can; dipper (liquid).
2775,duendes,Goblin; elf; ghost; spook in the form of a dwarf.
2776,dueñu,Owner; proprietor.
2777,dugera,Cheater; swindler; hoax (female).
2778,dugeria,Unfairness; falsehood; foul play; cheat; fraud; deceitfulness
2779,dugeru,Cheater; swindler; hoax (male).
2780,dugeruyi,Cheat; swindle; defraud; hoax; beguile; befool; trick; outwit; hoodwink.
2781,duka',Imbecile; idiot; moron; feeble-minded.
2782,dukumento,Document; deed.
2783,dulalak,Chase; pursue; catch; put to flight; chase away; oust.
2784,dulalas,Type of insect--odonata. Dragon fly.
2785,dulili,Type of bird--pluvialis dominica fulva. Pacific golder plover.
2786,dulili,Type of bird--actitus hypoleucos. Common sindpiper.
2787,dulili,Type of bird--heteroscelus brevipes. Gray-tailed tattler.
2788,dulili,Type of bird--heteroscelus incanus. American wandering tattler.
2789,dulili,Type of bird--arenaria interpres. Turnstone.
2790,dulili,Type of bird--gallinago megala. Marsh snipe.
2791,dulili,Type of bird--crocethia alba. Sanderling.
2792,dulili,Type of bird--erolia acumimate. Sharp-tailed sandpiper.
2793,dulok,Bore; stab; puncture; perforate.
2794,dulok,Hypodermic needle; penetrate.
2795,dumang,Tooth decay; decayed teeth; missing teeth.
2796,dumeskåråda,Flaunt; behave imprudently.
2797,duplika,Duplicate.
2798,dura,Delay; defer; put off; take up (time); time required.
2799,duranten,During (preposition).
2800,durao,Duration.
2801,durapble,Durable; lasting; longstanding; abiding.
2802,duru,Hard; fast; with pressure; vigorously; untiring.
2803,dusena,Dozen; a group of twelve.
2804,dutse,noun. Type of plant -- passion fruit.
2805,dutse,Sweets.
2806,duya',Yaws; frambesia.
2807,e,E--letter.
2808,e'kåhat,Slow; lingering.
2809,e'kat,Slow; slacken speed; reduce speed; take it easy. 
2810,e'nging,Thankless; untrue; ungrateful.
2811,e-,Search for (something)--prefix. May be affixed to nouns or modifiers. Primary stres falls on e-.
2812,ebåba',Low; short; extending upward; relatively little; below the normal height; too short.
2813,ebåba',Humble; lowly.
2814,ebång,Crooked; curbe; bend; arch.
2815,ebånghelio,Gospel.
2816,ebanghelista,Evangelist.
2817,ebidensia,Evidence; proof; testimony.
2818,ebita,Evade; avoid (sin); to turn out of the way.
2819,echa,"Bless; to give out blessing, as a parent or priest to his child."
2820,echan,"Match; pit against, especially in determining which cocks will be matched against each other to fight."
2821,echo,"Completed; finished; action done with regret; an action completed but regretted; used when one referes to an act, the completion of which he regrets."
2822,echong,Crooked; curve; bend; erch.
2823,echongi,Once in a while; a few times.
2824,echongña,Side; part.
2825,echongñaña,Be at the side of; to be at ones side.
2826,echung,To distract; perplex; confuse; bewilder.
2827,edda',Soil; dirt. 
2828,eddas,Stage; platform.
2829,edipok,Type of fishing--fishing in a water hole in th reef with a fishing line.
2830,editoriat,Editorial; leading article.
2831,editot,Editor; author; journalist.
2832,edo,To light a fire. 
2833,eduka,Educate; teach; develop and cultivate mentally or morally.
2834,edukasion,Education.
2835,efektibu,"Effective, in operation; active; operative."
2836,efektos,Merchandise.
2837,efi,F--letter
2838,egå'ga',"Get busy; do something about whatever the situation may be. Literally, hunt for animals."
2839,egå'ga',Inspect; overlook; control; search; view; visit.
2840,egå'ga',Seek; try to find; be in quest of.
2841,egågao,Beg; live on charity; alms--ask for; ask--as a form of begging.
2842,egga',Watch; observe (as spectator).
2843,eggeng,Slant; slope; an inclined plane; lay or tilt on one side.
2844,egigi,Type of bird--mycomola cardinalis saffordi. Cardinal honey-eater.
2845,egoismo,Egoism; selfishness.
2846,egues,Scrape; scour; rub.
2847,eguihan,Go fishing; go look for fish.
2848,ehahat,To hunt; to persue game.
2849,ehekutibu,Executive; administrative branch of the government.
2850,ehemplo,Example; parable.
2851,ehemplo,Episode; incident.
2852,ehetsisia,"verb. to exercise; to make use of or apply a faculty, right or process.

Also, etsisia, ihetsisia."
2853,ehetsisio,"noun. exercise; activity.

Also etsisio."
2854,ehi,Axle (of a wagon).
2855,ehinasso,"Dull; stupid; lacking in brains. Literally, Looking for thought."
2856,Ehipto,Egypt.
2857,ehongi,Irregular.
2858,ekalak,Seldom; scarce; not plentiful; seldom met with; a few times; rare.
2859,ekglesia,noun. church (building)
2860,ekgo',Jealous (sexual); suspect of infidelity.
2861,ekgu'i,Be jealous (sexual); be suspicious of infidelity; lust.
2862,ekibokasion,Error; misunderstanding.
2863,ekkes,"verb. make a cross; mark with an X.
noun. the letter X; the symbol X."
2864,ekklao,Crooked; curved; bent; arched.
2865,eklesiastiku,Ecclesiastic; belonging to the church.
2866,ekonomia,Economy; thrifty management; saving; thrift.
2867,ekpe,Impudence; sassy; back-talker; one who answers back disrepectfully; one who responds impudently; to be saucy or sassy.
2868,ekpe',"Breaker, especially of fragile things; clicer; cracker; one who breaks (fragile) things."
2869,eksåkåtibu,Executive.
2870,eksåkto,Exact; marked by accuracy and thoroughness; precise and full; identical. 
2871,eksålente,Excellent; outstanding.
2872,eksåmina,Examine; investigate; scrutinize; interrogate closely; try or test by question.
2873,eksåmina ta'lo,Re-examine; to look at again; to review.
2874,ekselente,Excellent; outstanding.
2875,eksiste,Exist.
2876,eksklåmasion,Exclamation.
2877,eksperensia,Experience; expert.
2878,eksperensiao,Experienced; expert.
2879,ekspert,Expert; skillful. (Guam)
2880,eksplika,Explain; expound; describe; relate; make clear.
2881,eksplikao,Explicable; explainable; capable of explanation.
2882,ekspotta,Export; ship overseas.
2883,ekspresia,Express; utter.
2884,ekstende,Extend; lengthen; elongate; prolong; protract; expland; enlarge.
2885,ekstension,Extension; act or state of extending.
2886,eku,Echo.
2887,ekulo',Climb up; get on top of.
2888,ekungok,verb. to listen to; hearken; give heed; yield to advice.
2889,ekungukon,Audible; capable of being heard.
2890,elektrisida,Electricity.
2891,eli,L--letter.
2892,elifånte,Elephant.
2893,elihipble,adjective. to be eligible; to meet certain criteria.
2894,embåhådat,Embassy.
2895,embåhådot,Ambassador.
2896,embåråsos,Obstacle; junk; barricade; crap; trivial objects; trifles; refuse; trash; litter.
2897,embåtga,Trust; depend; entrust; have faith.
2898,embåtga,Claim--not owned by the claimant; take--something that is not truly owned by the claimant; purloin openly; steal openly--as opposed to covert stealing.
2899,embåtka,Embargo.
2900,embes di,Instead of. 
2901,embeste,Challenge; attack; asail; invite difiantly to a contest of any kind.
2902,embidia,"noun. envy; jealousy.
adjective. vengeful."
2903,embidiosa,Hot head; easily angered; hot tempered; envious (female).
2904,embidiosu,Hot head; easily angered; hot tempered; envious (male).
2905,embilikera,Nosey; annoying; curious; meddler; snooper (female).
2906,embilikeru,Nosey; annoying; curious; meddler; snooper (male).
2907,embudu,Funnel.
2908,embuskåda,noun. ambush; surprise attack.
2909,embusteria,Brag; boast.
2910,embusteru,Liar; deceitful; denial (female).
2911,embusteru,Liar; deceitful; denial (male).
2912,embutiyi,Do inlaid work; do raised or embossed work.
2913,emfetmera,Nurse; nursemaid.
2914,emfetmeria,Imfirmary; nursing home; place for the care of the infirm or sick.
2915,emfetmeru,Nurse (male).
2916,emi,M--letter.
2917,emigrånte,Emigrant.
2918,emmok,Revenge; get even; hide (something) till it ripens.
2919,empåchu,Bored (from repitition); sickened (from repitition); satiated; fed up.
2920,empånåda,Meat wrapped in dough and fried.
2921,empås,Even up; payment completed; atone.
2922,empåtma,Couple; patch; mend; splice; join together; sew up.
2923,empåñåda,Meat wrapped in dough and fried.
2924,empe',Piece; part (from a whole).
2925,empe',Half.
2926,empe' buteya,Broken bottle; broken glass vessel.
2927,empe' ridoma,"Broken bottle; broken glass vessel;, such as a vial"
2928,emperadora,Empress.
2929,emperadot,Emperor.
2930,empeya,Chicken fat; oily or greasy meat or fowl or fish.
2931,empeña,Mortgage.
2932,empeña,To take pains; to endeavor; to try.
2933,empeñao,Ardent; eager; jealous.
2934,empeñosa,Eager; ardent; persistent; press earnestly; pertinacious; persevering; ambitious.
2935,empeñosu,Eager; ardent; persistent; press earnestly; pertinacious; persevering; ambitious.
2936,empeñu,Effort; with all ones power to achieve what is wanted.
2937,empidi,Prohibit; forbid; prevent.
2938,empito,Temperament.
2939,empitosu,Temperamental.
2940,emplåsta,Smear; blot out; smudge; daub; raze; plaster.
2941,emplåsta,To apply a poultice to; soad wound in liquid.
2942,emplåsto,Poultice; soaking of wound in liquid.
2943,emplea,Employ; hire; make use of the service of.
2944,empleao,Employee.
2945,emplehao,Employee.
2946,emplehu,Employment; job; work.
2947,empleo,Employment; job; work.
2948,en,"You--pl. pre-posed pronoun, used in transitive statements."
2949,enague',There is (toward addresee); be right there.
2950,enamorao,to be enamored; to be in love; amorous; full of sexual passion; lustful.
2951,enao,That (demonstrative)--close to the addressee.
2952,enao ha',That's all; that's it; all there is--the thing close to the addresee.
2953,enao na,That is why--something is done; that is the reason--talking to and about addressee.
2954,enao nai,That is where; that is when; that is the time or place (where addressee is).
2955,encros,Criss-cross; zig-zag.
2956,endotsa,Endorse.
2957,Eneru,noun. January (month). Also Ineru.
2958,enfietno,Hell; abyss; inferno.
2959,engåñu,Imposition; trick; fraud; deception.
2960,engelo',"Peep at; peek at, as through a crevice or small hole."
2961,enggåncha,Enlist.
2962,enggånsa,Engage; hire; secure the service of.
2963,enggåtsa,Inclose; encompass.
2964,enggrånet,Piece; fragment; granule; portion.
2965,enggråtu,Ingrate; ungrateful person.
2966,enggrudu,Glue; paste; mucilage.
2967,enggulente,noun. ointment; salve; unguent; an unctuous substance applied to a wond or injured part.
2968,enginge',Sniff out; find source of odor by sniffing.
2969,enginge' dågan,Brown nose; curry ones favor; flatter ones superior in hope of gaining favor.
2970,Englåtera,noun. England (country)
2971,Engles,English; language or people.
2972,engulo',Look for a hole; search for a hole.
2973,enhinieru,Engineer.
2974,eni,N--letter.
2975,enimigu,Enemy; foe; hostile force; adversary; opponent; challenger; competitor.
2976,enkåha,Inclose; incase; frame.
2977,enkåhes,Embroidery; lace. 
2978,enkåhi,Lace.
2979,enkåhi,Apply lace.
2980,enkåntao,Mysterious; magical; enchanted.
2981,enkaosa,Under investigation.
2982,enkåsu,If; in case.
2983,enkåtga,Commission (someone); order; entrust; to put in charge.
2984,enkåtgao,Caretaker; custodian.
2985,enkåtgo,Caretaker; given responsibility; left to be in charge; the commission; the order.
2986,enkåtmadura,Chancre; a wart that opens up and will not heal; venereal sore or ulcer.
2987,enkebukao,Argument; confusion; fuss; trouble; worry; inconvenience; troublesome; disagreement.
2988,enkola,"Bleach; whiten; blanch; make white or whiter, especially in the sun."
2989,enkotdio,Venereal disease; gonorrhea.
2990,enkottidu,"noun. pickles; preserved food (by pickling).

Also, kottidu."
2991,enlugåt di,Instead of; in place of.
2992,enmienda,Amend.
2993,enmosa biåha,Type of plant--amaranthus tricolor.
2994,eno',Blanket; covering.
2995,enpådrona,Census when everyone is called to a central location to be counted.
2996,enråmåda,Arbor; bower.
2997,enredådot,Slanderer.
2998,enredos,Slander; aspersion.
2999,ensåhi,Hurry; walk fast.
3000,ensåhi,Hitch-hike.
3001,ensaiklopidia,Encyclopedia
3002,ensålåda,Salad.
3003,ensåtta,"String; draw through; thread; pass a thread through the eye of something; make a collection by stringing on a wire, thread, etc. to hold them together."
3004,ensåtto,"A collection of something put together by stringing them on a wire, thread, etc. so as to hold them together, as a string of fish, shishkabob, string of beads, etc."
3005,ensåtto,Row--refering to a fence.
3006,ensåya,Trial; attempt.
3007,ensåya,Try.
3008,ensåyu,Rehearsal; practice session.
3009,ensenåda,Cove; inlet; small bay.
3010,ensima,To chip in (money); to put in money as shares; to have share.
3011,ensimasion,Donation.
3012,ensina,Plum tree.
3013,ensinåhyao,"Hurry up; walk fast--imperative, when addresing a group of people."
3014,entålo',Between; among; middle.
3015,entålo',Meddle.
3016,entålo',Interfere; meddle; interrupt; minding another's business.
3017,entayak,Thief.
3018,enteru,Solid; not hollow.
3019,enteru,Entire; all of.
3020,entieru,Funeral; burial.
3021,entieru,Entire; all of; whole.
3022,entinåda,Stepdaughter.
3023,entinådu,Stepson.
3024,entonses,Then; so; well then.
3025,entoses na,Mean to say; ones intention; ones wish; what is being expected.
3026,entot,Piece of.
3027,entråda,Entrance; entry; gateway; passageway.
3028,entre,Among; amid; amidst; between.
3029,entrega,Deliver; submit; yield; release; handover.
3030,entrega,Sacrifice.
3031,entrepulao,Miscellaneous; promiscuous.
3032,entretånto,Meanwhile; meantime; in the meantime; for the time being.
3033,enyineria,Engineer.
3034,epånglao,To hunt for crabs.
3035,epåpa',Low. 
3036,epidemia,Epidemic.
3037,eplåtu,Salver; plate.
3038,eppok,verb. persuade; entice; urge.
3039,eppoka,Epoch.
3040,erå,Very--used with time expressions; pause particle used stylistically to fill space.
3041,era,"Used to introduce information that is opposite of what most people would expect. Similar to when beginning sentences with the word ""actually"" or ""in fact""."
3042,eråmienta,Equipment; tool
3043,erensia,Heritage; inheritance.
3044,eri,R--letter.
3045,eroplånu,Airplane.
3046,esek,Pass through; go by way of.
3047,esferu,Sphere; a globe or globular body.
3048,esgaihon,Escort; watch over; accompany as an escort; lead the way for.
3049,esgen,Go by way of.
3050,esi,S--letter.
3051,esinåhyao,Hurry up; walk fast.
3052,esita,Joke; amuse oneself.
3053,esitani,Bluff; deceive.
3054,eskåbeche,Type of food--fried fish cooked with vegetables.
3055,eskålefrio,To shiver; have a chill; freeze.
3056,eskåma,"Mark--indicating ability, especially in chickens. A physical feature by which one may judge potential skill in animals, such as fighting cocks and hunting dogs."
3057,eskåma,Attitude.
3058,eskåma,Scruf; scales (on skin).
3059,eskåndalisa,Scandalize.
3060,eskåndålu,Scandal; slander; gossip; defamatory talk.
3061,eskåpa,Escape; avoidance; evasion; elude.
3062,eskåpayi,Escape; avoid; evade; elude.
3063,eskåpulårio,Meddallion; medal--made of cloth.
3064,eskåses,Scarcity; lack--especially of food.
3065,eskåsu,Rarely; seldom; scarce; not often.
3066,eskåtlatina,Scarlet fever.
3067,eskerosu,Squeamish; queasy; fussy.
3068,eskina,Corner (of building); outside corner.
3069,eskina,"Scene; time, place, or circumstances, in which anything occurs."
3070,esklåbitut,Slavery.
3071,esklåbu,Slave; human being in bondage.
3072,eskoba,Broom; rake; brush.
3073,eskoban nuhot,Broom--of coconut rib or leaf.
3074,eskobeta,Whisk broom.
3075,eskobiya,Type of plant--sida ssp. A plant used for making brooms and medicine.
3076,eskomme,Corn--soaked in a mixture of lime and water in order to remove the hull.
3077,eskopeta,Shotgun.
3078,eskopplo,Chisel.
3079,eskrepa',Scraper; heavy equipment vehicle which scrapes.
3080,eskribiente,Writer; clerk; accountant; one who writes; scribe; scribner.
3081,eskritura,"Writing, especially sacred writings."
3082,eskrupulosu,Scrupulous; anxious.
3083,eskuadron,Squadron.
3084,eskuela,"noun. schoolhouse; school; institution for teaching children.
verb. to attend school; to go to school."
3085,eskuelan påle',Catechism; school for religious instruction.
3086,eskuelan rai,Public school.
3087,eskuelånte,Student; scholar.
3088,eskusa,Excuse; reason; pretense.
3089,eskuttot,Sculptor.
3090,eslåbom,Chain link.
3091,esmeru,Zeal; eagerness.
3092,espåda,Sword; rapier; saber; simitar.
3093,espådas,Spades--card in the suit of.
3094,espånta,Threaten; menace; frighten; scare.
3095,espåntåhu,Scarecrow.
3096,espåntao,Scared; frghtened; menaced; threatened.
3097,espånto,Threat; menace; scarecrow.
3098,espåña,Burr; sandburr; sticker burr.
3099,Espåña,Spain.
3100,Espåñot,Spaniard; Spanish.
3101,espedision,Expedition.
3102,espehos,Mirror; looking-glass.
3103,espeki,"Pry; raise, move, ore pry (apart) with a pry."
3104,espektadot,Spectator.
3105,espeos,Mirror; looking-glass.
3106,esperånsa,Hope; expectation.
3107,esperimentao,Skilled; experienced; versed.
3108,espesia,Spice; relish.
3109,espesiåt,Special; noteworthy; unique; distinguished by some unusual quality.
3110,espesiåtmente,Especially.
3111,espia,Seek; search; look for.
3112,espiasion,Reparation; expiation.
3113,espiga,Spoke--of a wheel; tassel--corn.
3114,espiha,Seek; search; look for; locate.
3115,espinåsu,Backbone; spine; nape; the back fo the neck to the tailbone.
3116,espiniya,Shank.
3117,espiritu,Spirit; ghost; proof--of liquor.
3118,Espiritu Sånto,Holy Spirit; Holy Ghost; third Person of the Trinity.
3119,espirituåt,Spiritual.
3120,espisifiku,Specific; precise; exact; definite; clearly stated.
3121,espitåt,Hospital.
3122,espiyu,Carpenter's plane.
3123,esplika,Explain.
3124,esplikåyi,Interpret for; translate for.
3125,espolon,Spur (of chicken).
3126,espongha,Sponge; swell up.
3127,esposa,Wife.
3128,esposu,Spouse; husband
3129,espot,Neat; dainty; fastidious; dressed-up; sharp in appearance.
3130,espresa,"Express, especially by use of language."
3131,espuelas,Riding spurs.
3132,espuma,Foam; froth; scum. The residue that forms on top of a liquid during cooking. Is not edible.
3133,essålao,Shout; loud cry; outcry; a loud burst of voice; howl; clamor.
3134,essålaogue,Shout at; utter with a shout.
3135,essinahyao,Walking briskly.
3136,essitan,Joke; jest; witticism; something witty or sportive.
3137,essitani,Joke; banter; make merry with.
3138,essok,Dried breadfruit; dried either in the sun or baked in an oven.
3139,essok somnak,Breadfruit--dried in the sun.
3140,essugon,Round up (animals); drive animals or fish into a corral or trap.
3141,esta,Okay; already; approve; ready.
3142,esta,"adjective. A word marking completion. It is used in contexts where something has ""already"" happened. It is also used when leaving someone after a conversation."
3143,eståba,Was; used to be; there was or were.
3144,eståble,Stable.
3145,eståblesi,verb. establish; set up; found; decree; ordain; start.
3146,Estådos Unidos,United States.
3147,estådu,State; territory; condition.
3148,estågue',Here is; stating existence; show presence of something (object close to the speaker).
3149,eståguiya,Here is; stating existence; show presence of something (object close to the speaker).
3150,eståka,Stake; post; pole.
3151,eståmpa,Stamp.
3152,eståmpo',Stamp; mark; distinguish; act of stamping; that which stamps.
3153,eståndånte,Standard; flag.
3154,estånka,To resist; stem; check; dam.
3155,estånte,Counter; shelf; mantle.
3156,estao,Situation; status; condition; state of being; position in a place.
3157,estao,Public land; government land.
3158,eståsion,Station; station house; stop-off; depot; post.
3159,eståsiones,Stations; station of the cross.
3160,eståtua,Statue; statuette.
3161,eståño,Tin; tin plating.
3162,este,This (demonstrative).
3163,este ha', This is all; this is it; all there is--the thing close to the speaker.
3164,este mågi,Over here (place next to the speaker).
3165,este na ,This is why; this is the reason--talking about self.
3166,este nai ,This is where; this is when; this is the time or place.
3167,estera si rai,Once upon a time; way of beginning a story.
3168,esterit,Sterile; barren; producing little or no crop.
3169,estiba,Stockpile; store up.
3170,estiende,Extend; enlarge.
3171,estila,Distill--obtain by or as if by distillation.
3172,estima,Esteem; appraise; set a value on; hold in high regard or prize.
3173,estimao,Respected; highly regarded; esteemed.
3174,estimåsion,Estimation; esteem; valuation.
3175,estira,Stretch; expand; strain.
3176,estirånte,"Make taut; tighten or straighten; something that is slack, such as a rope."
3177,estiyas,Splinter; splint; chip; small piece of metal or wood.
3178,estola,"Stole; a long loose garment worn by priests reaching to the feet; a vestment, consisting of a long narrow band worn around the neck."
3179,estomågu,Stomach; belly; solar plexus
3180,estoria,Story; episode; occurrence; happening; event; tale.
3181,estotba,Annoy; vex; irk; bother; hinder; disturb; irritate; molest; harrass; trouble.
3182,estotbo,Nuisance; hinderance; annoyance; vexation; burden; inconvenience.
3183,estråbiyu,Superb; finishing touch.
3184,estrånghera,Stranger; foreigner; immigrant; alien; outsider.
3185,estrångheru,Stranger; foreigner; immigrant; alien; outsider (female).
