0,1,2,3,4,5
 Chatsaga yo' na hu ayuda hao pa'go. ,I am too preoccupied to help  you now,,,,
 I patgon chechet as tata-ña. ,The child is fond of his father,,,,
 Chumecho i tano'-mu yan i tano'-hu. ,Your land is next to my land,,,,
 Hu chefchef i ramas. ,I partially broke the tree branch,,,,
 Machefchef i kannai-hu. ,My arm was dislocated,,,,
 Hu cheflague i ga'lagu. ,I whistled to the dog,,,,
 Chekchek i petta anai hu baba. ,The door squeaked when I opened  it,,,,
 Hu hungok i chekchek i nifen-ña. ,I heard the grinding of her  teeth,,,,
 Chekka' na ga'ga' i nganga'. ,The duck is a delicate animal,,,,
 Che'lon lahi. ,Brother,,,,
 Che'lon palao'an. ,Sister,,,,
 Ha chengle si Jose i lepblo. ,Jose kept the book,,,,
 Chenglong i rueda gi fache'. ,The wheel was stuck in the mud,,,,
 Chetnudan yo' nigap gi tasi. ,I was injured yesterday at the sea,,,,
 Ha na'chetnudan yo' i kareta. ,The car injured me,,,,
 Ha ripara i chetnudan-hu. ,He became aware of my injury,,,,
 Chetta' kalalamten i kareta. ,The car would not budge,,,,
 Chetton i lilok gi tapbla. ,The nail clings to the lumber,,,,
 Chetton i danges i mangga gi kannai-hu. ,The sap of the mango  sticks to my hand,,,,
 Hafa chi-mu gi eskuela? ,How far did you go in school? Hafa  chi-mu gi tinaitai-mu? ,How far did you read? Manu chi-ña i  tano'-mu? ,Where is the boundary of your property?,,
 I patgon ha chichi'i i ma'estra-ña. ,The child bared his teeth  at his teacher,,,,
 Hu chiget i cha'ka ni kareta gi chalan. ,I ran over a rat with a  car on the road,,,,
 Chiget magagu. ,Clothespin,,,,
 Chiget gapotulu. ,Hair pin,,,,
 Hu chiget i pahina ni klip papet. ,I clipped the pages together  with a paper clip,,,,
 Chilong i tiningo'-mu yan i che'cho'-mu. ,Your knowledge is  proportionate to your work,,,,
 Ti hu tungo' chin minaolek-ña. ,I don't know how good he is,,,,
 Chinathasso si Juan ni asagua-ña. ,Juan's wife imagined bad  things about his behavior,,,,
 Ma na'suha i chinatkinemprende. ,They eliminated the  misunderstanding,,,,
 Chispas i hanom gi grifu. ,The water squirted from the faucet,,,,
 Chispas i guafi gi feggon. ,The fire sparked from the stove,,,,
 Chispas yo' gi fi'on-mu. ,I moved quickly by your side,,,,
 Malago' yo' chumocho. ,I want to eat,,,,
 Hu choffe i manglo' anai hu tototnge i guafi. ,I blocked off the  wind when I was building the fire,,,,
 Hu cho'gue i leksion-hu. ,I did my lesson,,,,
 I tronkon hayu chomchom. ,The tree is bushy,,,,
 Chomchom na yanu. ,A field overgrown with bushes,,,,
 Ma chomma' i patgon gumimen setbesa. ,They forbid the child to  drink beer,,,,
 Chonka ,also names the equipment used in the game. Also &chonga,,,,
 Hu chotge i neni ni leche. ,I hand-fed the baby with the milk,,,,
 I mediku ha chotge mata-hu ni amot. ,The doctor squeezed medicine  into my eyes,,,,
 Ha chuda' i neni i na'-ña sup gi basu-ña. ,The child spilled  his soup from his cup,,,,
 Ma chuda' i hanom halom gi tanke. ,They poured the water into the  tank,,,,
 Ha chuga i famagu'on ni manmumumu. ,He stopped the children who  were fighting,,,,
 Bula chigo'-ña i kahet. ,The orange has lots of juice,,,,
 Ha chuchungat i patgon. ,She is rocking the baby,,,,
 Ha chu'ot i chetnot gi kannai-hu si Juan. ,John hurt the wound in  my hand,,,,
 Guahu dada'da' anai mayulang i kareta. ,I was to be blamed when  the car broke down,,,,
 Dadagu si David gi gima'. ,David went north to the house,,,,
 Gaidadalak i ga'lagu. ,The dog has a tail,,,,
 Dafflok i patgon chumocho ais krim gi tenda. ,The child had eaten  his fill of ice cream at the store,,,,
 Dafflok yo' umegga' i feria. ,I watched the celebration as much  as I wanted to,,,,
 Hu daflokgue chumocho meggai melon gi lancho. ,I consumed a lot  of cantaloupes at the ranch,,,,
 Dagga' i chetnot-hu nai inina ni atdao. ,My sore was inflamed  when the sun shone on it,,,,
 Dalai enao. ,That's too much,,,,
 E'kahat i dandan dalai na ina'gang. ,"Slow down the music, it's  too loud",,,,
 Hu dalak i palao'an. ,I accompanied the girl. Cf. &Dalalak,,,,
 Pot fabot dalaki i direksion siha. ,Please follow the directions,,,,
 Hu dalle hao dumama. ,I beat you at checkers,,,,
 Hu na'daña i pan yan i mantikiya. ,I put together the bread with  the butter,,,,
 Dañao na fektos. ,Damaged merchandise,,,,
 Dumada'os yo'. ,"I am defecating, or I have diarrhea",,,,
 Hu dasai i che'lu-hu nigap. ,I gave my brother a haircut  yesterday,,,,
 Hu dasai i flores gi uriyan guma'. ,I trimmed the flowers around  the house,,,,
 Debet di un mamaigo' maolekña na un fanestutudia. ,"Rather than  sleeping, it is better that you study",,,,
 Debi un bisita si nana-mu gi espitat. ,You must visit your mother  at the hospital,,,,
 Debidi un saga gi gima'. ,"You must stay at home, or You should  stay at home",,,,
 Hafa dei. ,Hello,,,,
 Hu tungo' dei na...,I know friend that. .. Also &dai,,,,
 Hu dekkes i biyat. ,I caused a marble to hit another marble,,,,
 I guihan ha denka i katnada. ,The fish nibbled the bait,,,,
 Hu denka i pentura gi kareta. ,I scraped off the paint on the car,,,,
 Hu denke' i binadu. ,I spotted the deer with a light,,,,
 Bai hu gaige Guam dentro di kinse dies. ,I will be in Guam within  fifteen days,,,,
 Nina'desagunao ni i malabida-ña. ,He is disgusted with all the  bad things that happened,,,,
 Desaprebao i che'cho'-mu. ,Your work was disapproved,,,,
 Dumesbelao yo' gi painge. ,I stayed up all last night,,,,
 Desde nigap matto yo'. ,I came yesterday (and am still here),,,,
 Desde nigap mamaigo' gue'. ,He has been sleeping since yesterday,,,,
 Mamokkat yo' desde Susupe. ,I walked from Susupe,,,,
 Guaha desgrasiao pa'go. ,Someone had an accident today,,,,
 Dumesgusto yo' ni tes-hu. ,I was disgusted about my test,,,,
 Guaha desgusto entre siha. ,There was a quarrel among themselves,,,,
 Hu li'e' i dumeskansa na taotao. ,I saw the man who rested,,,,
 Anakko' i deskanso-ku gi gima'. ,I had a long rest at the house,,,,
 Hu deskata i paki. ,I unloaded the gun,,,,
 I patgon ha deskata i paluma. ,The child set the bird free,,,,
 Hu deskuida yo' ni patgon ya poddong gi banko. ,I neglected the  child and he fell off the bench,,,,
 Despacha i patgon para i gima'-ña. ,Tell the child to go home,,,,
 Desparadu na taotao. ,He is a desperate man,,,,
 Bula na despetdision nenkanno' gi gipot. ,There was a lot of  wasted food at the party,,,,
 Hu despidi si nana-hu. ,I said good-bye to my mother,,,,
" Despues, estudia i leksion-mu. ","Then, study your lesson",,,,
 Mamuda yo' despues humanao yo' asta i che'cho'-hu. ,"I dressed up,  then I went to my job",,,,
 Despues di guahu. ,After me,,,,
 Basta di mama'tinas nenkanno'. ,Stop preparing food,,,,
 Sigi hao di mama'baba fan ta'lo. ,You are fooling around again,,,,
 Basta di mama'baba. ,Stop fooling around,,,,
 Dia' ga'-hu dukduk. ,See my hermit crab,,,,
 Dia' na maolek patgon. ,Take notice of the good child,,,,
 Dia' na poddong hao. ,"See there, you fell down",,,,
" Diantre, ti hu gacha' i sakke. ","Devil, I didn't nab the thief",,,,
 Diantre na aguaguat taotao hao. ,"Devil, you naughty man",,,,
" Diantre, na inaguaguat gue'. ","Gosh, he is naughty",,,,
 Hu dibana i pan. ,I sliced the bread,,,,
 Para bai hu dibette yo' agupa'. ,I will be at leisure tomorrow,,,,
 Bula lugat nai siña un dibette hao. ,There are many places where  you can be at leisure,,,,
 Umadibina i dos. ,The two played the guessing game,,,,
 Para u dibuetta gue' magi ginen Guam. ,He is going to make a  round trip from Guam,,,,
 Gi dichu ora anai makama yo' estaba hao gi gipot. ,"The very hour  when I was bed-ridden, you were at the party",,,,
 Pues dichu enao na tiempo. ,At that very time,,,,
 Didide' ha' yo' un na'i. ,You only gave me a few,,,,
 Didide' na taotao gi miteng. ,(There were) few people at the  meeting,,,,
 Didok na okso'. ,A steep mountain,,,,
 I mediku ha dieta yo' asiga. ,The doctor put me on a salt free  diet,,,,
 I difunto tata. ,The late father,,,,
 Si difunto Jose. ,The late Joseph,,,,
 Madiga i sidan gi feria. ,The sedan was raffled at the fair,,,,
 Hu diga i patgon kande gi kannai-hu. ,I let the child guess for  the candy in my hand,,,,
 Diha' sa' bai hu deskansa. ,Notice I will have to rest,,,,
" Diha', poddong hao, no. ","See, you fell down, yes",,,,
 I ma'estro ha dikta ham noskuantos palabras para in tige' gi  makinan mangge'. ,The teacher dictated to us some words so we could  write them on the typewriter,,,,
 I hanom ha diliti i asukat. ,The water dissolved the sugar,,,,
 Dumilok yo' para bai hu godde i sapatos-hu. ,I bent down to tie  my shoes,,,,
 Ti siña yo' mamokkat sa' dinalak yo'. ,I cannot walk because of  my swollen leg,,,,
 Manbunitu dinekko'-$niha i tinanom. ,The sprouting of the plants  was pretty,,,,
 I dinida-ña na ti muna'hanao gue'. ,His uncertainty caused him  not to go,,,,
 Dankolo na dinigridu gi mata-hu. ,There is a big bruise on my eye,,,,
 Ha na'dinigridu i adeng-hu anai ha gacha' gi gipot. ,He inflicted  a bruise on my foot when he stepped on it at the party,,,,
 Hu dipatta yo' giya guiya. ,I separated from him,,,,
 Hu dipende yo' gi tiningo'-hu. ,I depend on my knowledge,,,,
 Guaha tres na dipendiente-ku. ,I have three dependents,,,,
 Dipotsi para Guam yo'. ,I was supposed to go to Guam,,,,
 Hu na'i si Andres ni guantes lao dipotsi para hagu. ,"I gave Andy  the gloves, but they were supposed to be for you",,,,
 Direchas kuetdas siha nai manggaige i kosas-hu. ,My things were  in a disorderly manner,,,,
 Direcha ha' nai un popo'lo i kosas-mu siha. ,You have left your  things scattered around,,,,
 Hu diroga i planu pot i gipot. ,I revoked the plan for the party,,,,
 I disehu taya' bali-ña. ,The desire has no significance,,,,
 Disentunadu i dandan-mu. ,Your music is inharmonious,,,,
 Ha diskuti i binibu-ña. ,He released his anger,,,,
 Dispensa yo'. ,Excuse me,,,,
 Lonnat,,,,,
 Hu na'dochon i haguha. ,I made the needle penetrate,,,,
 Dokngos i katne. ,The meat is burned,,,,
 I kusineru ha na'dokngos i hineksa'. ,The cook scorched the rice,,,,
 Hu dongdong i tolompon i amigu-hu. ,I hit my friend's top  repeatedly,,,,
 Ha dongdong yo' i sasata. ,The bee stung me,,,,
 Hu dopbla i lilok ni kannai-hu. ,I bent the steel with my hand,,,,
 Dotgan i bala gi liga. ,The bullet penetrated the wall,,,,
 Ti madoti ni mañaina-ña. ,There was no inheritance from his  parents,,,,
 Hu draiba i sidan asta i espitat. ,I drove the sedan to the  hospital,,,,
 I draiba ha na'despasio i kareta papa' gi ekso'. ,The driver  slowed the car down the hill. Cf. &Sugon,,,,
 Duda na taotao si Juan. ,John is a doubtful man,,,,
 Ha dudok i sintura-ña anai ha toktok gue'. ,He encircled her  waist when he embraced her,,,,
 Tatfoi i dalalai-ña i addeng-mu siña ha' hu dudok ni kannai-hu.  ,Your leg is so thin that I can encircle it with my hand,,,,
 Un dugeruyi yo' gi huegu. ,You cheated me in the game,,,,
 Ha dulok i emfetmera i kannai-hu. ,The nurse gave me a shot in my  arm,,,,
 I dilok dankolo. ,The needle (thing that gives the shot) is big,,,,
 Ha dura yo' i mediku dos oras gi espitat. ,The doctor delayed me  two hours at the hospital,,,,
 Duranten i gera bula manmatai. ,During the war many died,,,,
 Duru yo' macho'cho'. ,I work hard,,,,
 Malagu yo' duru. ,I ran fast,,,,
 Enenkanno' gi lancho. ,Search for food at the ranch,,,,
 Ebunita palao'an para ga'chong-ta gi baila. ,Search for pretty  girls for our partners at the dance,,,,
 Ebaba' i haligen i gima'. ,The post supporting the house is too  short,,,,
 Ebaba' i ginaloppe-ña gi matka. ,His jump is short of the mark,,,,
 Ebaba' i tronkon hayu. ,The tree is short,,,,
 Echa bendision i hadu-mu. ,Give blessing to your godson,,,,
 I pale' ha echa i neni-hu. ,The priest blessed my baby,,,,
 Echo i magagu-mu esta. ,Your clothes are ready,,,,
 Echo hu cho'gue i che'cho' sin i dispusision-mu. ,I have  completed the work without your consent,,,,
 Munga madiroga i che'cho' sa' esta echo munhayan. ,Don't revoke  the work because it has already been completed,,,,
 Ega'ga' ya un na'gasgas hao. ,Get yourself busy to clean yourself  up,,,,
 E'kat pinalala gi che'cho'-mu. ,Slow down on your work,,,,
 Ekgo' gue' na lahi. ,He is a jealous man,,,,
 Si Juan ekgo' na taotao. ,John is a jealous person,,,,
 Hu ekgu'i i asagua-hu. ,I am jealous of my spouse,,,,
 Ekpe i che'lu-hu lahi. ,My brother is sassy,,,,
 Ekpe' yo' mampos espeos. ,I have a potential for breaking mirrors,,,,
 Hu ekspresia i opinion-hu gi miteng. ,I expressed my opinion at  the meeting,,,,
 Hu ekungok i rediu. ,I listened to the radio,,,,
 I patgon ha embatga i lapes ni ti iyo-ña. ,The child claims the  pencil that does not belong to him,,,,
 Embes di un fanaitai chumachalek hao. ,"Instead of praying, you  were laughing",,,,
 Embilikeru hao na patgon. ,You are a nosey child,,,,
 Hu emmok hao sa' un pa$niti yo' nigap. ,I avenge you because you  hit me yesterday,,,,
 Hu emmok i chetda para u aga'. ,I hid the banana for it to ripen,,,,
 Empachu i taotao chumocho mangga. ,The person was satiated from  eating mangoes,,,,
 I che'lu-hu lahi empachu ni nobia-ña. ,My brother is fed up with  his girl friend,,,,
 Empe' pan. ,Piece of bread,,,,
 Todu empe$nu ha cho'gue i mediku para u satba i malangu. ,The  doctor tried everything to cure the sick one,,,,
 Manempeya ni yinemmok-ña. ,It is so fat it is greasy,,,,
 Baba empito-ña. ,He has a bad temperament,,,,
 Empitosu na taotao. ,A temperamental person,,,,
 Kao en li'e' i taotao? ,Did you see the man?,,,,
 Enague' yo'. ,I will be there,,,,
 Enague' si Juan. ,There is John,,,,
 Enamorao yo' as Maria. ,I am in love with Maria,,,,
 Enao ha' che'cho'-ña pa'go. ,That is all she has done today,,,,
 Enao na hu bisita hao gi espitat sa' malangu hao. ,That is why I  visited you at the hospital - because you were sick,,,,
 Enao nai para u guaha programa. ,There (where you are) is the  place where there is a program,,,,
 Hu na'encros i kareta. ,I made the car go criss-cross,,,,
 Munga umessalao guini sa' enkantao este na lugat. ,"Don't shout  here, for this is an enchanted place",,,,
 Si Juan ma'enkaosa sa' manaña. ,John has been under  investigation for assault,,,,
 Ma enkatga yo' ni patgon na bai hu esgaihon guatu asta i  gima'-ña. ,They commissioned me to escort the child to his home,,,,
 Hu na'enkatgo hao yanggen humanao yo'. ,I will give you the  responsibility when I leave,,,,
 Malangu i enkatgo pa'go. ,The caretaker is sick now,,,,
 Bula na enkebukao gi miteng. ,There was a lot of disagreement at  the meeting,,,,
" Enlugat di manmapedde siha gi bola, manmangganna siha. ","Instead  of losing the ball game, they won it",,,,
 Umensahi yo' asta Garapan. ,I hitch-hiked to Garapan,,,,
 Ensatton guihan. ,String of fish,,,,
 Ensatton katne. ,Shishkabob,,,,
 Ensatton pipitas. ,String of seeds,,,,
 Malak i ensayu yo'. ,I went to choir practice,,,,
 Manensima yo' dies pesos para i gipot. ,I chipped in ten dollars  for the party,,,,
 Bai hu fanensima sinkuenta pesos para kabo'-hu. ,I will put in  fifty dollars as my share,,,,
 Gof ya-ña umentalo' gi areklon dos umasagua. ,He likes to meddle  in the affairs of the two married people,,,,
 Munga na un entalu'i i patgon gi huegu-ña. ,Don't interfere with  the child in his game,,,,
 Entonses na munga hao. ,"Then, you don't want it",,,,
 Entonses na munga hao humanao. ,You mean to say that you aren't  going,,,,
 Entonses na para un tattiyi yo'. ,So you are going to follow me,,,,
 Guahu mas ñateng malagu gi entre hita na mangga'chong. ,I am the  slowest runner among our group,,,,
 Engelo' huyong gi bentana. ,Peep out the window,,,,
 Hu enggansa si Antonio para u kahat i gima'-hu. ,I engaged Tony  to build my house,,,,
 Engulo' fan maddok panglao. ,"Search for some crab hole, please",,,,
 Era ayu na tiempo anai matto hao nai malangu gue'. ,It was at  that time when you came that he got sick,,,,
 Era hafa ilek-mu. ,"Now, what did you say?",,,,
 Hu esgaihon i biha asta i siya-ña. ,I escorted the old lady to  her chair,,,,
 Esgen i un banda. ,Go by way of the one side,,,,
 Umeskapa gue' gi presu. ,He escaped from prison,,,,
 I patgon ha eskapayi i kareta gi chalan. ,The child avoided the  car on the road,,,,
 Eskasu ma'udai yo' gi boti. ,I rarely ride in a boat,,,,
 Un eskusa hao na malangu hao potno un hanao. ,You pretended to be  sick so that you won't go,,,,
 Masodda' un espai giya Guam. ,There was a spy found on Guam,,,,
 Umespai yo' gi duranten i gera. ,I was a spy during the war,,,,
 Esplika, plus referential focus,,,,
 Umessalao yo' nigap. ,I shouted yesterday,,,,
 A'gang na essalao. ,The shout is loud,,,,
 Si nana ha essalaogue i patgon-ña. ,Mother shouted at her child,,,,
 Hu essitani si Juan gi eskuela. ,I joked with John at school,,,,
 Umessok si nana-hu. ,My mother baked some breadfruit,,,,
 Estaba yo' gi gualo' anai umessalao hao. ,I was at the farm when  you shouted,,,,
 Estaba bula kareta gi pantalan. ,There used to be lots of cars at  the pier,,,,
 Estague'. ,Here it is,,,,
 Estague' i lepblo-mu. ,Here is your book,,,,
 Hafa este? ,What is this? Guaguan este na lepblo. ,This book is  expensive,,,
 Este ha' iyo-ku. ,This is all I've got,,,,
 Malangu yo' este na un fatto ya un bisita yo'. ,"I'm sick, that's  why you should come and visit me",,,,
 Este nai mambola hit nigap. ,This is where we played ball  yesterday,,,,
 Ha na'ye estrabiyu. ,He put on the finishing touch,,,,
 Hu estrena i nuebu na sapatos-hu. ,I tried out my new shoes,,,,
 Hu estudiayi i mapa-hu. ,I analyzed my map,,,,
 Hu estudia i estudio-hu. ,I studied my lesson,,,,
 Etokcha' fan guihan ya ta tunu. ,Go spear some fish and we will  barbeque,,,,
 Hu fa'guaha kareta-hu. ,I pretended to have a car,,,,
 Ha fa'bunita gue' i palao'an. ,The woman pretended to be pretty,,,,
 Hu fa'bentana i petta. ,I changed the door into a window,,,,
 Hu fa'aila' si Juan as nana-ña. ,I reported on John to his  mother,,,,
 Hu fa'ande' i amigu-hu drumaiba. ,I coaxed my friend to drive,,,,
 Puru ha' hao fabila di chispas. ,You are all full of stories,,,,
 I tenderu ha faboresi i taotao ni salape'. ,The storekeeper  contributed money to the man,,,,
 Fa'chada' si Jose ya un nina'i ni kareta. ,Flatter Jose so that  he will give you the car,,,,
 Facho'cho' gi lancho agupa'. ,Work at the farm tomorrow,,,,
 Hu fa'dagi i amigu-hu potno hu hanao gi gipot. ,I used my friend  as an excuse for not going to the party,,,,
 Si Paul ha fa'dagi si tata-ña nigap. ,Paul used his father as an  excuse yesterday,,,,
 Hu fa'denne' i guihan. ,I mixed the fish with hot sauce. ,,,,
 I ga'-hu ga'lagu fafa'nu'i. ,My dog is a retriever,,,,
 Fafatta esta i amko'. ,The old man is absent-minded,,,,
 Metgot i fafayi-ña. ,His strongest part is strong,,,,
 Agapa' fafayi-hu. ,My right side is strong,,,,
 Ha faggas i katu ni acho'. ,He hit the cat with a rock,,,,
 Maseha un fa'hafa i kareta-mu bibihu ha'. ,"No matter what you try  to do with your car, it's still old",,,,
 Hu faidok i kamuti gi halom odda'. ,I pulled out the sweet potato  from the ground,,,,
 Hu faininok i asagua-hu. ,I made my wife wait,,,,
 Munga mafaiseknani i otro sa' hu tungo' na hagu. ,Don't accuse  others because I know you did it,,,,
 Hu faisen i ma'estro-mu. ,I asked your teacher,,,,
 Hu faisini hao as nana-mu para ta hanao para i mubi. ,I asked  your mother for you that we go to the movie,,,,
 Hu fakcha'i i amigu-hu gumigimen setbesa gi gima'-ña. ,I found  my friend drinking beer at his house,,,,
 Ha fakcha'i i tropan guihan gi saddok. ,He found a school of fish  in the river,,,,
 Para u fakpo' i miteng gi talo'ani. ,The meeting will be over in  the afternoon,,,,
 Hu fala' i tumates. ,I ate the uncooked tomato,,,,
 Ha fala' i hima gi tasi. ,He ate the raw clam at the ocean,,,,
 Hu falaggue i kareta-hu giya Susupe. ,I went to get my car at  Susupe,,,,
 Falagu para i espitat. ,Run to the hospital,,,,
 Ha falaguaihon yo' i na'yan gi kannai-hu. ,The dish slipped away  from my hand,,,,
 Ha falaguaihon yo' i patgon gi gipot. ,The child slipped away  from me at the party,,,,
 Falak i ofisina. ,Go to the office,,,,
 Ha fa'la'mon gue' ni atulai. ,He hoarded all of the atulai ,to  himself,,,
 Fama'taotao ya un mafa'taotao. ,Act like a man and you will be  treated like one,,,,
 Fama'ma'gas sa' ma'gas hao ya un marespeta. ,Act like a boss  because you are the boss and you will be respected,,,,
 Bai hu famatkilu gi eskuela. ,I will be silent in school,,,,
 Famatkilu i pachot-mu. ,Hush your mouth,,,,
 Famokkat asta i eskuela. ,Walk to school,,,,
 Ma na'famta' i gima' padet pot i metgot para i pakyo. ,The  concrete house became popular for its capacity to withstand typhoons,,,,
 Famta' i rasan Chapanis giya Hawaii sa' layan famagu'on-$niha.  ,The Japanese race propagates in Hawaii because they have lots of  children,,,,
 Maila' fan. ,Please come,,,,
 Fatto agupa' fan. ,Please come tomorrow,,,,
 Huchom fan i petta. ,Please close the door. Also used  figuratively in sense of daring someone,,,,
 Maila' fan. ,I dare you to come,,,,
 I famagu'on para u fanpiknik giya Tatgua. ,The children are going  for a picnic at Tatgua,,,,
 Fanhanao!, Go!,,,,
 Suni ,'taro',,,,
 Fansuniyan ,'taro patch',,,,
 O'mak ,'bathe',,,,
 Fano'makan ,"'bath tub, shower room'",,,,
 Fa'i ,'growing rice',,,,
 Fanfa'iyan ,'rice field',,,,
 Hu fana' i atdao anai uma'ason yo' gi inai. ,I faced the sun when  I was lying down on the sand,,,,
 Ha fana' kumontra i enemigu. ,He stood up to fight his enemy,,,,
 Fa'na'an hagu yuhi i hu li'e' gi painge. ,Maybe you were the one  that I saw last night,,,,
 Hu na'fanaitai i patgon gi misa. ,I made the child pray at the  mass,,,,
 I fanihi gumupu ginen i tronkon hayu. ,The bat flew from the tree,,,,
 Fanoppok para ga'chong gi che'cho'. ,Persuade people to help with  the work,,,,
 Fa$notsot ni isao-mu ya munga mata'lo. ,Feel sorry for your sin  and never do it again,,,,
" Fanggan lemmai, Pedro. ","Pedro, pick breadfruit",,,,
 Hu fa'sahnge i patte-ña. ,I set aside his share,,,,
 Fata'chohnge si Juan. ,Sit on Juan,,,,
 Hu fata'chohnge i kombetsasion. ,I sat in on the conversation,,,,
 Esta fatigagao. ,He is already dying,,,,
 Hu fatkiluyi hao anai un a'agang yo'. ,I remained quiet when you  were calling me,,,,
 Fatso i makina. ,The machine is broken,,,,
 Fatso i relos. ,The watch is broken,,,,
 Fatso gue' kumontrata. ,He made a false contract,,,,
 Fatta yo' dos pesos. ,I'm two dollars short,,,,
 Fattao si David na estudiante gi eskuela. ,David is an absentee  student at school. (Usually absent),,,,
 I ma'gas ha na'fatto i taotao. ,The boss made the man come,,,,
 Un fattoigue gue' gi gima'-ña. ,You visited him at his home,,,,
 Ha fattoigue yo' si bihu-hu anai matai. ,My grandfather haunted  me when he died,,,,
 Hu feddos i tronkon hayu. ,I climbed up the tree,,,,
 Felis Paskua. ,Happy Easter or Merry Christmas,,,,
 Felis A$nu Nuebu. ,Happy New Year,,,,
 Feman i guinaiya-ña gi mañaina-ña. ,His love is sincere for  his parents,,,,
 Hu fiha i kareta-hu gi as Tenorio. ,I bought my car on credit  from Tenorio,,,,
 Hu filisita i manmagradua na estudiante. ,I congratulated the  graduating students,,,,
 Hafa fin-ña? ,What is the end of it? or What became of it?,,,,
 Ta a'asodda' gi finakpo' i miteng. ,We will meet together at the  end of the meeting,,,,
 Meggai na taotao gi finakpo' i gipot. ,There were lots of people  at the end of the party,,,,
 Finakulu'an yo' ni na'-hu. ,My food choked me,,,,
 Adahi sa' anakko' este na fina'okso'. ,"What do you know, this  hilly place is long",,,,
 Fina'okso' na lugat anai gaige i gima'-mami. ,Our house is  located on the hilly place,,,,
 I finedda' este na kuatto. ,The width of this room,,,,
 Hayi fine'na magi? ,Who was here first? Guahu fine'na magi. ,I  was here first,,,
 Ya-hu i fino' Espa$not. ,I like the Spanish language,,,,
 Finu che'cho'-ña i katpenteru. ,The carpenter's work is accurate,,,,
 I neni finu lassas-ña. ,The baby has smooth skin,,,,
 I siya gaige gi fi'on i lamasa. ,The chair is near the desk,,,,
 Hu fitma i na'an-hu gi papet. ,I signed my name on the paper,,,,
 Fitme i disision-mu. ,Your decision is certain,,,,
 Fitme enao siha na magagu. ,Those are durable clothes,,,,
 Ha na'foffo yo' i fette anai hu gimen. ,It made me snort when I  drank the liquor,,,,
 Hu na'fo'na i biha gi fila. ,I let the old lady be first in the  line,,,,
 Bai hu na'fo'na hao gi me'na-hu. ,I will let you be ahead of me,,,,
 Fo'na chumocho antes di guahu. ,Eat first before me,,,,
 Ha fo'naigue yo' gi che'cho'. ,He did the work ahead of me,,,,
 Hu fotge i fina'denne' ni lemon. ,I squeezed lemon juice into the  hot sauce,,,,
 Hu foyang i kahon gi liga. ,I threw the box against the wall,,,,
 Hu foyang i lepblo gi lamasa. ,I hit the book against the table,,,,
 Foyon i lemmai. ,Press down the breadfruit,,,,
 Si Juan ha foyong yo' papa'. ,Juan threw me down,,,,
 Basta i frihonada. ,Stop the joking,,,,
 Meggai na frihonada gi duranten i miteng. ,There were a lot of  jokes during the meeting,,,,
 Todu Siña manhanao fuera si David. ,Everyone can go except David,,,,
 Siña hao humanao lao fuera gue'. ,You can go but not him,,,,
 Bula na taotao siha lumi'e' Hawaii fuera di hagu. ,There are lots  of people who have seen Hawaii besides you,,,,
" Fuera di Guam, Saipan mas dankolo na isla giya Marianas. ","Except  for Guam, Saipan is the largest island in the Marianas",,,,
 Si fulanu sumangan na ginen mapresu hao. ,Mr. So and So said that  you were in prison before,,,,
 Funhayan gumimen pues ta hanao. ,"Finish drinking, then we will go",,,,
 Hu fu$not i manohon siboyas. ,I tightened up the bundle of onions,,,,
 Ma fu$not yo' gi halom kareta. ,They squeezed me inside the car,,,,
 Hu fuyot i guihan ni titiyas. ,I wrapped the fish with the  tortilla,,,,
 Ga'chotda hao. ,You really like bananas,,,,
 Ga'bumola si Perez. ,Perez loves to play ball,,,,
 Ga'salape' si Calvo. ,Calvo loves money,,,,
 Hu gacha' hao mo'na gi karera-ta. ,I caught up with you in our  race,,,,
 Si Pete ha ga'chungi ham gi piknik. ,Pete accompanied us on the  picnic,,,,
 Gada' trabiha i tinekcha'-ña i mangga. ,The fruit of the mango  tree is still green,,,,
 Gada' trabiha ilu-ña i patgon. ,The child's mind is still  undeveloped,,,,
 Gaddai gue' chupa. ,He smoked too many cigarettes,,,,
 Gaddai hao gumimen setbesa. ,You drank too much beer,,,,
 Manggade' yo' binadu gi halom tano'. ,I caught a deer in the  woods,,,,
 Ha gadde' i mannok gi lancho. ,He caught the chicken at the ranch,,,,
 Hu na'gaddo' i patgon anai hu panak i bola. ,I let the child  search for the ball in the bushes when I hit it,,,,
 Nihi ta fanggadi lamo'na. ,Let's go fishing tonight. (Using palm  leaves),,,,
 Gagaige ha' si nana-hu. ,My mother is still living,,,,
 Gaikareta yo'. ,I have a car,,,,
 Gailitratu gue'. ,He has a camera,,,,
 Gaisalape' siha. ,They (two) have money,,,,
 Manggaisalape' siha. ,They (pl.) have money,,,,
 Gai'ase' i ma'gas gi taotao-ña. ,The boss is merciful to his  people,,,,
 Gaige na pumepeska gi tasi. ,He is fishing in the sea,,,,
 Gaige buente na ume'egga kachido'. ,Maybe he is watching movies,,,,
 Gaige gue' gi eskuela. ,He is at school,,,,
 Gai'iyo yo' kareta. ,I have a car,,,,
 Gailugat yo' pumeska agupa'. ,I have spare time to go fishing  tomorrow,,,,
 Gailugat gue' giya Luta. ,He has a place on Rota,,,,
 Hu li'e' i ga'isao na palao'an. ,I saw the (female) sinner,,,,
